ID,GX,GY,Species,Tag,PrevStatus,PrevIDqual,PrevHt,Cell,PrevComments,StandID,Plot,PrevYear
106000529,46,100,CESA,47948,1,S,55,E1,,BURNED,606,2023
106000530,5,32,BENE,47906,1,S,9,A7,Leader dieback,BURNED,623,2023
106000531,84,5,BENE,48844,1,S,16,I10,,BURNED,609,2023
106000532,86,72,CEVE,12388,9,S,,I3,,BURNED,606,2023
106000533,8,66,CESA,47961,1,S,61,A4,,BURNED,609,2023
106000534,61,9,BENE,12363,1,S,38,G1,Herbivory ,BURNED,624,2023
106000535,32,100,BENE,47963,1,S,31,D1,,BURNED,606,2023
106000536,54,48,CESA,47935,1,S,43,F6,,BURNED,609,2023
106000537,82,67,CEVE,47656,6,S,,I4,,BURNED,606,2023
106000538,68,62,PSME,12418,2,S,34,G4,,BURNED,609,2023
106000539,13,22,PSME,48862,1,S,163,B8,,BURNED,624,2023
106000540,57,60,PSME,37655,2,S,40,F4,,BURNED,606,2023
106000541,18,91,BENE,47986,1,S,14,B1,,BURNED,623,2023
106000542,5,9,BENE,12393,1,S,17,A10,,BURNED,609,2023
106000543,35,89,PSME,47624,6,S,,D2,,BURNED,609,2023
106000544,89,43,BENE,12387,1,S,63,I6,,BURNED,623,2023
106000545,45,75,ACMA,11258,2,S,54,E3,,BURNED,623,2023
106000546,55,7,CESA,47723,1,S,111,F10,,BURNED,622,2023
106000547,70,76,CESA,48408,1,S,23,H3,Herbivory,BURNED,609,2023
106000548,16,82,BENE,48845,1,S,74,B2,,BURNED,636,2023
106000549,38,43,VAPA,47937,1,S,205,D6,,BURNED,636,2023
106000550,16,77,PSME,PSME2301,2,S,41,B3,Ts,BURNED,623,2023
106000551,81,74,CESA,43030,2,S,29,I3,,BURNED,606,2023
106000552,40,46,VAPA,47959,1,S,31,E6,Multi herbivory,BURNED,636,2023
106000553,33,39,VAPA,47971,1,S,96,D7,Multi,BURNED,636,2023
106000554,75,11,BENE,12491,2,S,21,H9,,BURNED,609,2023
106000555,65,80,ACMA,12371,1,S,56,G2,,BURNED,625,2023
106000556,40,9,CESA,12383,6,S,,E10,,BURNED,609,2023
106000557,28,70,PSME,48928,1,S,173,C3,,BURNED,623,2023
106000558,71,55,BENE,47699,1,S,54,H5,,BURNED,622,2023
106000559,19,28,CEVE,47777,1,S,117,B8,,BURNED,622,2023
106000560,30,21,CEVE,47920,6,S,,D8,,BURNED,622,2023
106000561,81,69,CEVE,12334,6,S,,I4,,BURNED,606,2023
106000562,15,11,PSME,48808,9,S,,B9,,BURNED,625,2023
106000563,20,44,CEVE,47784,1,S,105,C6,,BURNED,622,2023
106000564,17,42,CEVE,48487,6,S,,B6,,BURNED,622,2023
106000565,56,65,PSME,11249,2,S,66,F4,,BURNED,623,2023
106000566,70,44,BENE,48996,1,S,53,H6,,BURNED,623,2023
106000567,50,51,BENE,12375,1,S,30,F5,,BURNED,609,2023
106000568,81,62,CEVE,12374,1,S,140,I6,PREV marked as BENE,BURNED,623,2023
106000569,42,18,BENE,47949,1,S,49,F9,,BURNED,623,2023
106000570,18,98,CEVE,47778,1,S,393,B1,,BURNED,623,2023
106000571,75,37,PSME,12499,2,S,76,H7,,BURNED,619,2023
106000572,79,22,CEVE,10176,6,S,,H8,,BURNED,606,2023
106000573,75,45,BENE,48997,1,S,36,H6,,BURNED,623,2023
106000574,83,72,CESA,47992,1,S,18,I3,Leader die back,BURNED,606,2023
106000575,37,58,CEVE,47747,1,S,149,D5,,BURNED,622,2023
106000576,4,65,BENE,12337,1,S,51,A4,,BURNED,623,2023
106000577,65,88,BENE,48923,1,S,54,G2,,BURNED,622,2023
106000578,94,37,BENE,48914,1,S,44,J7,,BURNED,623,2023
106000579,28,15,PSME,12425,2,S,35,C9,,BURNED,609,2023
106000580,21,40,CEVE,47771,6,S,,C6,,BURNED,622,2023
106000581,29,26,CEVE,48486,9,S,,C8,,BURNED,609,2023
106000582,8,1,CESA,47744,1,S,370,A10,,BURNED,635,2023
106000583,85,82,TSHE,47609,1,S,46,I2,,BURNED,623,2023
106000584,88,1,PSME,11222,2,S,38,I10,,BURNED,622,2023
106000585,38,44,BENE,48807,1,S,123,D6,,BURNED,624,2023
106000586,62,61,BENE,47908,6,S,,G4,,BURNED,635,2023
106000587,33,42,VAPA,12324,1,S,193,D6,Multi,BURNED,636,2023
106000588,10,81,BENE,10190,1,S,28,B2,,BURNED,623,2023
106000589,27,24,PSME,48889,1,S,151,C8,,BURNED,624,2023
