ID,GX,GY,Species,Tag,PrevStatus,PrevIDqual,PrevHt,Cell,PrevComments,StandID,Plot,PrevYear
654100069,65,71,CEIN,11300,2,S,51,G3,,BURNED,654,2023
636100070,36,42,VAPA,12301,1,S,249,D6,Multi,BURNED,636,2023
658100071,16,12,BENE,12305,1,S,33,B9,,BURNED,658,2023
623100072,40,38,BENE,12307,1,S,27,E7,,BURNED,623,2023
642100073,41,34,HODI,12311,1,S,381,E7,,BURNED,642,2023
606100074,29,8,BENE,12314,1,S,25,C9,,BURNED,606,2023
645100075,4,65,BENE,12315,1,S,30,A4,,BURNED,645,2023
606100076,83,47,CEVE,12323,6,S,,I6,,BURNED,606,2023
636100077,33,42,VAPA,12324,1,S,193,D6,Multi,BURNED,636,2023
651100078,76,40,BENE,12325,1,S,34,H7,,BURNED,651,2023
623100079,71,50,BENE,12326,1,S,36,H5,,BURNED,623,2023
614100080,52,31,TSHE,12328,6,S,,F7,,BURNED,614,2023
633100081,38,66,CEVE,12329,6,S,,D3,,BURNED,633,2023
639100082,27,68,SYMO,12330,2,S,120,C4,,BURNED,639,2023
657100083,55,90,AMAL,12332,1,S,351,F1,,BURNED,657,2023
640100084,96,4,BENE,12333,1,S,59,J10,,BURNED,640,2023
606100085,81,69,CEVE,12334,6,S,,I4,,BURNED,606,2023
609100086,55,4,PSME,12335,9,S,,F10,,BURNED,609,2023
623100087,4,65,BENE,12337,1,S,51,A4,,BURNED,623,2023
667100088,12,67,CESA,12339,1,S,158,B4,,BURNED,667,2023
657100089,54,91,AMAL,12340,1,S,426,F1,Herbivory ,BURNED,657,2023
607100090,33,72,BENE,12341,1,S,39,D4,,BURNED,607,2023
666100091,11,38,BENE,12344,1,S,20,B7,,BURNED,666,2023
623100092,68,78,BENE,12348,1,S,54,G3,,BURNED,623,2023
640100093,91,82,BENE,12350,1,S,72,J2,,BURNED,640,2023
666100094,4,100,ACMA,12354,1,S,77,A1,Tag changed from 12454,BURNED,666,2023
636100095,39,42,VAPA,12357,1,S,35,D6,Stress multi,BURNED,636,2023
622100096,28,58,CEVE,12358,1,S,65,C5,Tag replaced ,BURNED,622,2023
636100097,58,59,CEVE,12359,6,S,,F5,,BURNED,636,2023
623100098,8,95,BENE,12360,1,S,19,A1,,BURNED,623,2023
623100099,69,52,BENE,12361,1,S,38,G5,,BURNED,623,2023
624100100,61,9,BENE,12363,1,S,38,G1,Herbivory ,BURNED,624,2023
622100101,31,7,BENE,12365,1,S,48,D10,,BURNED,622,2023
675100102,45,9,BENE,12366,1,S,30,E10,,BURNED,675,2023
625100103,65,80,ACMA,12371,1,S,56,G2,,BURNED,625,2023
623100104,81,62,CEVE,12374,1,S,140,I6,PREV marked as BENE,BURNED,623,2023
609100105,50,51,BENE,12375,1,S,30,F5,,BURNED,609,2023
639100106,30,70,SYMO,12377,1,S,256,D3,,BURNED,639,2023
624100107,37,91,BENE,12379,1,S,34,D1,,BURNED,624,2023
623100108,33,2,BENE,12381,1,S,34,D10,,BURNED,623,2023
609100109,40,9,CESA,12383,6,S,,E10,,BURNED,609,2023
623100110,89,43,BENE,12387,1,S,63,I6,,BURNED,623,2023
606100111,86,72,CEVE,12388,9,S,,I3,,BURNED,606,2023
634100112,68,92,BENE,12389,1,S,17,G1,,BURNED,634,2023
609100113,5,9,BENE,12393,1,S,17,A10,,BURNED,609,2023
622100114,62,61,BENE,12394,1,S,62,G4,,BURNED,622,2023
623100115,29,19,BENE,12396,1,S,55,C9,,BURNED,623,2023
674100116,9,89,BENE,12397,6,S,,A2,,BURNED,674,2023
609100117,60,55,TSHE,12398,6,S,,G5,,BURNED,609,2023
616100118,55,39,TSHE,12401,2,S,27,F7,,BURNED,616,2023
